ts,inst_id,ccy,interval_h,funding_rate,cap,floor,at_cap_live,at_cap_sett,borrowable,borrow_rate,borrow_quota,perp_last,spot_last
2026-07-23T20:53:00+00:00,O-USDT-SWAP,O,2.0,-0.0009665756663275,0.01,-0.01,False,False,False,,0.0,0.5611,
2026-07-23T21:03:27+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0012239962866399,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1271,0.1283
2026-07-23T21:03:27+00:00,O-USDT-SWAP,O,2.0,-0.0009399095174847,0.01,-0.01,False,False,False,,0.0,0.5587,
2026-07-23T21:13:54+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0014476253890212,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1278,0.1305
2026-07-23T21:13:54+00:00,O-USDT-SWAP,O,2.0,-0.0008819720989816,0.01,-0.01,False,False,False,,0.0,0.5614,
2026-07-23T21:24:22+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0023925775787986,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1282,0.1321
2026-07-23T21:24:22+00:00,O-USDT-SWAP,O,2.0,-0.0008408883593963,0.01,-0.01,False,False,False,,0.0,0.5595,
2026-07-23T21:34:49+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0030450649105661,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1306,0.1344
2026-07-23T21:34:49+00:00,O-USDT-SWAP,O,2.0,-0.0008093604710645,0.01,-0.01,False,False,False,,0.0,0.5618,
2026-07-23T21:45:16+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0042896684669934,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1314,0.1388
2026-07-23T21:45:16+00:00,O-USDT-SWAP,O,2.0,-0.0007812059406912,0.01,-0.01,False,False,False,,0.0,0.5598,
2026-07-23T21:55:43+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0051191378927154,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1313,0.1358
2026-07-23T21:55:43+00:00,O-USDT-SWAP,O,2.0,-0.0007826429276397,0.01,-0.01,False,False,False,,0.0,0.5587,
2026-07-23T22:06:10+00:00,BARD-USDT-SWAP,BARD,2.0,-0.0056458239681584,0.01,-0.01,False,False,True,0.00572616,19200.0,0.1303,0.1334
2026-07-23T22:06:10+00:00,O-USDT-SWAP,O,2.0,-0.0008168280189525,0.01,-0.01,False,False,False,,0.0,0.5572,
