ts,ccy,rate,quota,reason,inst_id,interval_h
2026-07-21T17:36:26+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T17:36:26+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T17:46:38+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T17:46:38+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T17:46:38+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T17:46:38+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T17:46:38+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T17:56:49+00:00,LA,,0.0,pinned_at_cap|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T17:56:49+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T17:56:49+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T17:56:49+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T17:56:49+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T18:07:02+00:00,LA,,0.0,short_interval|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T18:07:02+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T18:07:02+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T18:07:02+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T18:07:02+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T18:17:14+00:00,LA,,0.0,short_interval|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T18:17:14+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T18:17:14+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T18:17:14+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T18:17:14+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T18:27:26+00:00,LA,,0.0,short_interval|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T18:27:26+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T18:27:26+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T18:27:26+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T18:27:26+00:00,USDT,6.864e-05,5000000.0,control,,0.0
2026-07-21T18:37:38+00:00,LA,,0.0,short_interval|NOT_BORROWABLE,LA-USDT-SWAP,2.0
2026-07-21T18:37:38+00:00,ONE,,0.0,pinned_at_cap|NOT_BORROWABLE,ONE-USDT-SWAP,4.0
2026-07-21T18:37:38+00:00,BTC,1.392e-05,175.0,control,,0.0
2026-07-21T18:37:38+00:00,ETH,4.128e-05,7000.0,control,,0.0
2026-07-21T18:37:38+00:00,USDT,6.864e-05,5000000.0,control,,0.0
