ts,n_symbols,n_1h,n_2h,n_4h,n_8h,n_other,n_pinned_live,n_at_cap_sett,n_events
2026-07-21T04:10:40+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T04:31:16+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T04:41:25+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T04:51:36+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T05:01:46+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T05:11:56+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T05:22:05+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T05:32:15+00:00,512,0,0,226,286,0,1,0,1
2026-07-21T05:42:24+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T05:52:34+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T06:02:44+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T06:12:54+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T06:23:04+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T06:33:15+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T06:43:25+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T06:53:34+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T07:03:45+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T07:13:56+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T07:24:06+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T07:34:17+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T07:44:27+00:00,512,0,0,226,286,0,0,0,1
2026-07-21T07:54:37+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T08:04:47+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T08:14:57+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T08:25:06+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T08:35:16+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T08:45:26+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T08:55:35+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T09:05:46+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T09:26:29+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T09:36:41+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T09:46:52+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T09:57:04+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T10:07:15+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T10:17:27+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T10:27:38+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T10:37:49+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T10:48:01+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T10:58:12+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T11:08:24+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T11:18:35+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T11:28:46+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T11:38:58+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T11:49:10+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T11:59:21+00:00,512,0,0,226,286,0,0,0,0
2026-07-21T12:09:33+00:00,512,0,0,226,286,0,1,0,1
2026-07-21T12:19:45+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T12:29:57+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T12:40:09+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T12:50:21+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T13:00:33+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T13:10:45+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T13:20:57+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T13:31:10+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T13:41:22+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T13:51:34+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T14:01:47+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T14:22:37+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T14:32:49+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T14:43:01+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T14:53:12+00:00,512,0,0,226,286,0,1,0,0
2026-07-21T15:03:24+00:00,512,0,0,226,286,0,2,0,1
2026-07-21T15:13:36+00:00,512,0,0,226,286,0,2,0,0
2026-07-21T15:23:49+00:00,512,0,0,226,286,0,2,0,0
2026-07-21T15:34:01+00:00,512,0,0,226,286,0,2,0,0
2026-07-21T15:44:13+00:00,512,0,0,226,286,0,2,0,0
2026-07-21T15:54:25+00:00,512,0,0,226,286,0,2,0,0
2026-07-21T16:04:37+00:00,512,0,1,226,285,0,0,2,6
2026-07-21T16:14:49+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T16:25:00+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T16:35:12+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T16:45:25+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T16:55:38+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T17:05:50+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T17:16:02+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T17:26:14+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T17:36:26+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T17:46:38+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T17:56:49+00:00,512,0,1,226,285,0,0,2,0
2026-07-21T18:07:02+00:00,512,0,1,226,285,0,0,1,1
2026-07-21T18:17:14+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T18:27:26+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T18:37:38+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T18:47:50+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T18:58:02+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T19:18:41+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T19:28:53+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T19:39:05+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T19:49:17+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T19:59:29+00:00,512,0,1,226,285,0,0,1,0
2026-07-21T20:09:41+00:00,512,0,1,226,285,0,0,0,1
2026-07-21T20:19:53+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T20:30:04+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T20:40:17+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T20:50:29+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T21:00:41+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T21:10:53+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T21:21:05+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T21:31:17+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T21:41:29+00:00,512,0,1,226,285,0,0,0,0
2026-07-21T21:51:41+00:00,512,0,1,226,285,0,0,0,0
