symbol,announce_ts,delist_ts,notice_h,pre_abn_pct,post_abn_pct,incremental_pct,pre_turnover_usd,post_turnover_usd,bars_pre,bars_post
COMMONUSDT,2026-01-31T07:00:48+00:00,2026-02-02T09:00:00+00:00,50.0,-39.35,-32.14,7.21,5333531.0,557485.0,48,48
EPTUSDT,2026-01-28T11:40:54+00:00,2026-01-30T09:00:00+00:00,45.3,-27.578,13.47,41.048,1317592.0,1534865.0,48,45
NKNUSDT,2026-01-26T11:05:36+00:00,2026-01-29T09:00:00+00:00,69.9,-1.927,-5.154,-3.227,107681.0,70114.0,48,48
PHBUSDT,2026-01-26T11:05:46+00:00,2026-01-29T09:00:00+00:00,69.9,-6.279,-2.29,3.989,261321.0,175903.0,48,48
VICUSDT,2026-01-26T11:06:46+00:00,2026-01-29T09:00:00+00:00,69.9,-4.182,-13.476,-9.295,119487.0,154918.0,48,48
XNOUSDT,2026-01-21T10:37:36+00:00,2026-01-24T09:00:00+00:00,70.4,2.188,-0.961,-3.149,302978.0,131315.0,48,48
ALEOUSDT,2026-01-21T10:37:25+00:00,2026-01-24T09:00:00+00:00,70.4,0.892,-5.671,-6.564,965214.0,314667.0,48,48
FWOGUSDT,2026-01-21T10:36:49+00:00,2026-01-24T09:00:00+00:00,70.4,-10.386,3.236,13.622,1130221.0,341089.0,48,48
DAMUSDT,2026-01-07T09:03:36+00:00,2026-01-10T09:00:00+00:00,71.9,-1.401,-2.841,-1.44,744148.0,265791.0,48,48
FXSUSDT,2025-12-29T09:21:56+00:00,2026-01-02T09:00:00+00:00,95.6,-7.586,1.851,9.437,929903.0,1155942.0,48,48
PRCLUSDT,2025-12-24T09:07:58+00:00,2025-12-26T09:00:00+00:00,47.9,5.334,27.656,22.322,1203682.0,1243662.0,48,47
ZENTUSDT,2025-12-24T09:08:09+00:00,2025-12-26T09:00:00+00:00,47.9,4.989,2.529,-2.46,844913.0,1015259.0,48,48
AIAUSDT,2025-12-11T15:23:37+00:00,2025-12-13T09:00:00+00:00,41.6,-39.757,-29.596,10.161,48843616.0,5935060.0,48,41
OBOLUSDT,2025-12-10T09:04:49+00:00,2025-12-12T09:00:00+00:00,47.9,-1.007,-20.979,-19.972,920292.0,585168.0,48,48
